fecha_de_cargo,descripcion,categoria,monto,forma_de_pago,realizado_por,limite_de_pago,deuda_a_plazos_recurrente_o_normal,comentarios
2024-10-06,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-10-31,Plazos,
2024-10-13,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-12-01,Plazos,
2024-10-20,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-12-01,Plazos,
2024-10-27,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-12-01,Plazos,
2024-11-03,Celular Samsung A54,Electrónicos,185.1851851851852,LikeU,Aylin,2024-12-01,Plazos,
2024-05-17,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-05-17,Plazos,
2024-06-02,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-06-02,Plazos,
2024-06-17,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-06-17,Plazos,
2024-07-02,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-07-02,Plazos,
2024-07-17,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-07-17,Plazos,
2024-08-02,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-08-02,Plazos,
2024-08-17,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-08-17,Plazos,
2024-09-02,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-09-02,Plazos,
2024-09-17,Credito de nomina,Credito Nomina,500.0,Crédito Nomina,David,2024-09-17,Plazos,
2024-09-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2024-11-17,Plazos,Aylin lo paga con mi tarjeta
2024-10-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2024-12-18,Plazos,Aylin lo paga con mi tarjeta
2024-11-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2025-01-17,Plazos,Aylin lo paga con mi tarjeta
2024-12-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2025-02-17,Plazos,Aylin lo paga con mi tarjeta
2025-01-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2025-03-20,Plazos,Aylin lo paga con mi tarjeta
2025-03-01,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2025-04-17,Plazos,Aylin lo paga con mi tarjeta
2025-03-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2025-05-18,Plazos,Aylin lo paga con mi tarjeta
2025-04-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2025-06-17,Plazos,Aylin lo paga con mi tarjeta
2025-05-29,Minisplit,Electrodomesticos,375.8888888888889,Liverpool,Aylin,2025-07-18,Plazos,Aylin lo paga con mi tarjeta
